Bankrupt,year,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18
0,2000,24.033,100.336,10.36,10.85,1.15,-0.206,1.116,1.5099,152.098,135.744,0,0.49,51.762,141.657,-121.818,152.098,141.657,141.248
0,2000,18.721,2.402,2.37,-18.817,2.508,8.906,0.078,103.1349,2.498,65.82,2.639,-21.187,0.096,6.173,28.164,2.498,19.049,21.315
0,2004,0.729,5.32,0,-0.577,0,0.143,0.131,19.031,4.743,10.85,0,-0.577,-0.577,4.759,-0.352,4.743,4.759,5.32
0,2003,5.113,12.857,0.311,-0.577,0.139,-0.561,3.548,5.4132,17.642,7.851,1.76,-0.888,4.785,9.17,-7.879,17.642,11.407,18.219
1,2001,17.103,23.219,1.427,3.008,9.399,1.048,5.206,3.8811,34.795,32.071,0,1.581,11.576,10.102,3.116,34.795,27.214,31.787
0,1999,7255,37999,870,2113,598,893,3548,31707.1356,40112,33381,7151,1243,2113,6759,1852,40112,20381,37999
1,2003,3.372,11.767,1.353,2.747,0.146,1.312,0.57,7.0392,36.301,5.486,0,1.394,24.534,18.122,-134.37,36.301,18.122,33.554
0,2007,96.688,38.15,1.502,-24.041,0,-30.628,7.769,453.7627,52.923,332.431,0.191,-25.543,14.773,17.939,-3262.876,52.923,22.63,76.964
1,2001,23.084,49.409,4.942,-10.737,9.527,-21.155,11.559,3.0377,76.167,43.736,26.912,-15.679,26.758,20.634,-131.864,76.167,53.376,86.904
0,2007,6.884,4.212,0.526,-0.43,2.361,-0.923,1.051,19.6812,7.432,11.775,0.452,-0.956,3.22,0.396,-5.001,7.432,0.848,7.862
1,2005,579.048,51.23,15.003,95.569,46.239,-325.412,43.986,579.9366,241.973,776.494,172.5,80.566,190.743,64.335,-395.961,241.973,250.383,146.404
0,2001,34.49,72.832,5.283,18.211,16.303,3.893,16.263,45.333,141.342,144.976,76.415,12.928,68.51,20.106,16.588,141.342,111.372,123.131
0,2009,58.725,186.164,1.312,0.704,6.764,-1.213,19.389,27.4155,208.489,94.396,0,-0.608,22.325,7.776,66.864,208.489,7.776,207.785
0,2007,17.246,9.689,0.327,0.079,4.693,-8.504,5.481,5.128,19.178,27.631,23.462,-0.248,9.489,4.924,-6.898,19.178,28.386,19.099
1,2003,760.852,2347.513,116.367,294.466,0,41.307,568.34,1849.548,3139.277,2049.812,268.812,178.099,791.764,520.117,145.368,3139.277,860.159,2844.811
1,2014,24.796,76.844,2.394,-12.146,0.825,-16.625,1.132,60.9765,77.758,33.431,6.623,-14.54,0.914,11.05,-310.07,77.758,21.06,89.904
0,2017,32.927,6.823,1.728,-1.754,0,-2.51,4.275,78.1699,18.73,57.184,0,-3.482,11.907,3,-57.708,18.73,3.006,20.484
0,2006,248.384,643.921,19.194,137.709,75.93,58.633,132.97,1078.836,982.152,632.137,347.32,118.515,338.231,171.214,-0.515,982.152,627.753,844.443
1,2000,83.611,156.538,12.834,-25.299,40.143,-41.268,37.412,78.3028,221.742,103.792,0.48,-38.133,65.204,56.588,-27.377,221.742,64.734,247.041
0,2006,0.379,0,0,-0.009,0,-0.013,0,0.5961,0.029,1.029,0.098,-0.009,0.029,1.147,-21.225,0.029,1.276,0.038
1,2001,4.501,24.387,7.173,-4.016,0.388,-39.936,2.604,0.7616,22.073,9.641,62.523,-11.189,-2.314,12.66,-105.825,22.073,82.396,26.089
1,2011,261.139,10.414,1.433,-37.402,1.938,-30.416,16.18,352.2816,42.228,344.544,0,-38.835,31.814,13.807,-425.116,42.228,15.539,79.63
0,2000,67.332,130.392,8.935,-3.653,15.828,-13.493,15.892,146.0662,200.062,227.294,84.336,-12.588,69.67,45.468,-21.574,200.062,129.804,203.715
0,2010,23.76,13.816,0.811,0.183,11.942,-0.66,3.9,24.3162,25.954,34.792,2,-0.628,12.138,4.016,-4.119,25.954,6.402,25.771
0,2017,1137.3,2649.8,64.6,552.1,484.2,305.7,506.5,8707.1423,3839.6,1891.5,970.5,487.5,1189.8,654.5,1418.5,3839.6,1841.4,3287.5
0,2013,8037,27370,1733,6525,1179,1556,5208,20973.5068,34182,28831,27590,4792,6812,5695,-9660,34182,35759,27657
0,2010,268.913,257.936,18.813,62.257,85.338,78.658,50.177,390.8154,619.377,558.471,147.065,43.444,361.441,147.091,66.92,619.377,378.443,557.12
0,2006,1.655,10.781,0.807,-0.155,0.238,-2.6,1.019,5.2122,12.454,8.82,4.297,-0.962,1.673,14.226,-62.527,12.454,18.651,12.609
1,2006,1599.6,2544.4,126.1,371.5,752.1,73.4,247.9,2279.3449,4777.5,2070,345.8,245.4,2233.1,984.2,1779.3,4777.5,1416.2,4406
0,2002,13.074,47.089,9.977,14.163,2.616,-2.573,1.593,41.3395,71.029,66.724,66.125,4.186,23.94,6.865,-9.419,71.029,72.99,56.866
1,2006,23.592,45.244,0.785,7.165,11.316,5.387,9.241,6.7621,59.49,44.418,0,6.38,14.246,62.892,-51.33,59.49,66.949,52.325
1,2004,6.227,7.841,0.365,-3.422,0.045,-3.931,0.374,91.4545,9.466,19.853,5.417,-3.787,1.625,8.195,-34.265,9.466,13.612,12.888
0,2000,17.876,11.33,1.367,-32.826,0.118,-32.275,0.339,11.8169,4.549,20.732,0,-34.193,-6.781,5.426,-65.476,4.549,6.139,37.375
1,1999,7.746,12.569,0.533,0.754,0.351,0.229,4.895,9.267,19.823,19.114,1.712,0.221,7.254,8.223,0.684,19.823,10.042,19.069
0,2018,924.447,2534.491,79.25,222.981,275.292,77.461,461.648,970.1971,2939.478,1594.147,305.669,143.731,404.987,621.814,460.167,2939.478,987.164,2716.497
0,2004,16.958,18.463,1.34,5.297,0.038,3.731,4.484,49.436,34.822,29.346,4.375,3.957,16.359,14.341,9.282,34.822,19.046,29.525
0,2000,77.492,215.874,2.239,10.181,30.438,-5.609,37.768,17.7491,251.406,98.305,24.503,7.942,35.532,39.435,10.276,251.406,67.652,241.225
0,2008,10.467,9.755,0.162,-0.248,5.409,-0.33,3.11,5.3064,17.421,10.789,0.025,-0.41,7.666,3.336,-6.336,17.421,3.457,17.669
0,2006,3898,9238,47,285,0,168,2045,4385.5409,9626,5407,2,238,388,2983,-264,9626,3585,9341
0,2013,3312,8669,1622,3912,256,1015,1434,15085.0493,12581,46646,10034,2290,3912,4881,7535,12581,34955,8669
0,2011,490.853,785.117,25.639,109.613,221.225,37.674,145.797,491.9653,1249.484,1036.458,300.726,83.974,464.367,164.904,-57.462,1249.484,522.013,1139.871
1,2013,115.686,24.893,27.214,-4.889,17.368,-57.711,34.254,213.8973,50.729,406.749,206.939,-32.103,25.836,44.016,-431.586,50.729,269.274,55.618
1,2010,4.789,4.521,0.043,-14.401,0.622,-10.923,0.514,39.1364,4.623,5.173,0,-14.444,0.102,5.259,-102.395,4.623,5.259,19.024
1,2004,83.1,473.084,34.412,125.757,18.234,38.852,6.385,339.1679,646.324,1171.82,803.883,91.345,173.24,116.483,87.505,646.324,997.169,520.567
1,2004,84.239,39.794,61.333,141.729,0,33.355,44.392,749.5713,228.025,783.335,188.926,80.396,188.231,41.775,168.006,228.025,347.584,86.296
1,2005,0.595,0.273,0.365,-0.199,0,-0.785,0.034,35.5136,0.469,4.415,1.612,-0.564,0.196,0.019,-10.753,0.469,1.631,0.668
0,2003,11.739,20.571,4.901,8.078,1.153,7.73,3.693,159.786,28.649,59.733,6.926,3.177,8.078,5.755,37.451,28.649,21.847,20.571
0,1999,727,390,451,695,99,-172,309,1659.7545,1185,5435,2077,244,795,583,-767,1185,3665,490
0,2005,1097.223,808.55,93.527,445.174,289.921,260.055,308.355,4399.3511,1253.724,3342.285,763.434,351.647,445.174,2092.496,492.295,1253.724,2987.817,808.55
1,2011,419.92,269.606,346.394,1019.507,1.164,453.202,170.613,4517.8935,1315.145,4869.705,1903,673.113,1045.539,670.979,1145.439,1315.145,3275.996,295.638
1,2001,24.525,44.977,3.125,1.181,3.176,-4.387,17.204,30.9642,70.277,34.619,2.873,-1.944,25.3,29.467,-51.288,70.277,32.34,69.096
1,2005,351.499,627.368,4.413,56.056,73.411,20.268,188.029,952.1609,749.415,1084.472,369.039,51.643,122.047,265.549,78.279,749.415,694.393,693.359
1,2007,52.384,49.074,41.401,55.829,6.622,-30.414,17.4,162.7662,122.879,681.61,233.046,14.428,73.805,52.682,-120.989,122.879,295.127,67.05
0,2000,4.576,1.965,0.191,-3.451,0.946,-5.702,0.774,19.3903,2.984,7.815,0.028,-3.642,1.019,2.188,-22.954,2.984,2.216,6.435
0,2013,217.235,214.757,13.2,80.328,0,39.101,116.291,3353.7449,416.643,444.488,0,67.128,201.886,192.11,202.164,416.643,198.169,336.315
0,2004,41.454,85.328,0.648,17.33,15.172,7.646,19.242,101.5542,121.238,55.254,2.949,16.682,35.91,31.768,41.207,121.238,34.931,103.908
1,2003,65.691,92.617,13.79,24.141,0.875,-87.849,30.292,45.1806,206.26,318.89,328.613,10.351,113.643,57.454,-369.63,206.26,406.27,182.119
1,2013,123.942,28.059,0.463,-22.54,20.515,-17.177,0.982,173.6664,5.519,193.824,1.99,-23.003,-22.54,12.189,-156.528,5.519,176.849,28.059
0,2017,290.631,381.286,53.077,181.813,43.793,97.606,83.139,2187.5508,563.099,1855.182,398.161,128.736,181.813,126.514,427.251,563.099,1076.995,381.286
0,2008,334,649.2,24.5,91.2,70.4,1.5,151.6,166.0316,742.3,1005.7,438.6,66.7,93.1,248.4,-248.5,742.3,1033.2,651.1
1,2002,3.137,2.821,0.744,-12.07,0.897,-13.078,1.552,47.3424,3.663,19.183,2,-12.814,0.842,1.803,-142.94,3.663,3.803,15.733
1,2004,142.595,70.354,11.398,102.633,0,49.951,18.343,693.2183,232.487,675.089,175,91.235,162.133,56.754,50.953,232.487,278.852,129.854
0,2012,2297.639,680.879,65.835,646.567,201.25,487.536,229.175,10063.4823,2168.652,4729.451,922.666,580.732,1487.773,386.788,1684.382,2168.652,1766.155,1522.085
0,2004,1548.8,1697.7,150.3,13.3,155,-292.5,463.4,892.0206,1711,4777.3,2329.9,-137,13.3,854.4,-2339.8,1711,3646.8,1697.7
1,1999,40.102,28.405,3.419,-4.952,6.864,-13.666,12.722,30.7733,59.553,54.281,0,-8.371,31.148,14.142,3.709,59.553,14.142,64.505
0,2011,527.129,307.128,49.966,156.465,117.163,66.886,135.464,1763.0434,727.844,911.135,2.877,106.499,420.716,130.744,409.893,727.844,178.504,571.379
0,2013,30.263,18.245,18.143,29.027,0,8.057,13.581,191.204,61.863,228.385,42.309,10.884,43.618,17.753,-66.971,61.863,64.424,32.836
1,2008,186.958,225.738,20.197,56.261,148.154,14.112,17.877,140.8661,545.05,333.005,72.328,36.064,319.312,107.222,15.197,545.05,196.593,488.789
0,2008,2097.984,6652.509,1000.23,3056.41,426.671,902.947,968.49,4961.6993,11617.187,6460.047,4969.423,2056.18,4964.678,2980.003,-2600.802,11617.187,8409.153,8560.777
1,2017,178.406,136.167,1.334,-124.992,0,-125.618,1.357,456.6111,11.175,197.071,9.457,-126.326,-124.992,36.903,-372.838,11.175,65.109,136.167
0,2014,208.069,330.343,7.55,29.364,70.27,16.366,91.875,88.6966,460.141,232.213,0,21.814,129.798,159.562,69.049,460.141,159.562,430.777
0,2009,80.486,20.663,2.132,-3.696,0,-6.567,0,90.0078,64.358,85.37,2.344,-5.828,43.695,11.193,-170.713,64.358,13.537,68.054
0,2009,112.912,103.711,1.204,-4.045,15.751,-3.371,9.428,223.3439,115.612,232.342,0,-5.249,11.901,32.294,18.559,115.612,51.988,119.657
1,2010,94.868,52.153,0.473,-50.922,0,-51.915,0,385.9574,1.231,96.846,0,-51.395,-50.922,16.288,-318.661,1.231,63.058,52.153
0,2011,31.758,226.056,41.509,62.451,1.487,3.276,5.956,197.6797,322.028,409.699,198.638,20.942,95.972,51.52,27.454,322.028,295.885,259.577
1,2000,241.548,35.828,7.64,-60.275,11.169,-65.776,31.506,1182.39,98.258,264.043,0,-67.915,62.43,45.261,-41.785,98.258,45.261,158.533
0,2016,185.933,57.748,11.336,19,0,5.71,20.746,1193.7911,193.295,298.365,0,7.664,135.547,32.161,-37.065,193.295,49.098,174.295
0,2007,1526.082,4360.239,9.225,160.206,74.397,97.114,971.714,1117.8015,4628.358,1654.115,13.358,150.981,268.119,1232.561,180.683,4628.358,1285.781,4468.152
0,2002,241.363,162.197,11.631,39.316,8.654,7.268,37.796,489.3349,295.049,324.542,0.46,27.685,132.852,75.157,56.277,295.049,87.907,255.733
0,2013,14599,36944,1021,6098,5279,3857,4501,44059.5907,44062,27298,5776,5077,7118,5510,4100,44062,14784,37964
0,2000,202.862,1039.64,30.997,124.909,67.348,48.791,104.252,714.7563,1164.549,1087.042,291.528,93.912,124.909,281.217,90.437,1164.549,758.514,1039.64
1,2004,52.828,28.896,0.163,-5.808,0,-5.26,0,209.7613,23.088,53.296,0,-5.971,-5.808,13.82,-114.48,23.088,21.585,28.896
0,2017,444.744,279.499,34.081,399.851,0,350.148,116.751,8587.9886,1330.661,2130.146,1252.696,365.77,1051.162,318.773,419.893,1330.661,1622.841,930.81
1,2001,66.573,231.737,26.317,114.858,5.535,78.132,49.92,873.2862,394.405,711.171,492.517,88.541,162.668,93.131,-293.167,394.405,747.369,279.547
0,2018,31.851,22.318,0.896,8.87,9.66,6.081,7.058,69.5014,45.615,49.363,0,7.974,23.297,4.107,19.788,45.615,4.107,36.745
0,2003,26.608,18.989,1.431,4.449,13.795,7.546,3.103,33.9915,30.535,40.123,0,3.018,11.546,5.485,11.057,30.535,5.485,26.086
0,2013,2070.947,1209.455,162.987,1740.73,524.706,1034.42,175.477,16093.7852,5075.39,3531.897,0.485,1577.743,3865.935,722.51,-114.13,5075.39,1122.739,3334.66
1,1999,14.085,39.267,2.281,3.1,7.308,-1.256,1.577,21.8208,53.428,33.931,10.215,0.819,14.161,12.184,0.392,53.428,23.299,50.328
1,2014,10.534,20.444,3.9,-3.863,1.127,-10.475,1.466,17.6976,29.39,36.881,0.032,-7.763,8.946,17.045,-46.118,29.39,27.242,33.253
0,2018,293.259,887.365,32.447,39.226,255.884,-5.998,0,53.6189,1272.732,441.205,153.253,6.779,385.367,167.296,-13.6,1272.732,394.154,1233.506
1,2007,20.174,2.777,2.206,-8.965,0,-18.202,3.595,68.3212,21.525,38.114,0,-11.171,18.748,5.172,-49.234,21.525,5.172,30.49
0,2003,38.869,64.784,1.417,4.783,24.042,2.63,13.412,46.2363,95.687,55.241,0,3.366,30.903,13.116,16.186,95.687,17.365,90.904
1,2017,195.797,197.512,44.282,-51.289,78.999,-253.116,37.705,276.2241,188.756,540.598,87.738,-95.571,-8.756,42.431,279.779,188.756,134.833,240.045
0,2015,0.106,0.576,0.006,-1.73,0,-2.689,0.004,3.8749,0.642,0.114,0,-1.736,0.066,1.071,-31.667,0.642,1.071,2.372
1,2008,266.053,130.274,8.225,27.045,8.68,10.152,4.51,223.5187,257.938,309.315,0,18.82,127.664,50.108,28.898,257.938,72.057,230.893
1,2008,685.878,1396.327,25.307,-116.251,350.026,-385.881,216.68,107.7994,1743.176,999.518,160,-141.558,346.849,227.502,259.527,1743.176,633.024,1859.427
0,2014,1416.2,2419.7,93.3,701.5,713.8,437.9,493.6,9518.652,4243.2,4414.3,1014.1,608.2,1823.5,1122,796.6,4243.2,2604.9,3541.7
1,2012,102.46,126.391,133.999,64.389,10.322,-144.928,13.531,154.5023,226.453,2843.371,1524.357,-69.61,100.062,25.68,202.55,226.453,1582.164,162.064
1,1999,67.245,49.618,5.228,15.3,26.793,0.932,33.621,55.2475,106.884,178.295,85.417,10.072,57.266,23.845,-4.835,106.884,130.179,91.584
0,2007,1606.377,1104.713,93.977,407.773,471.467,127.497,604.369,5088.1099,2249.905,2708.846,591.591,313.796,1145.192,832.19,1053.318,2249.905,1648.245,1842.132
0,2002,55.324,67.629,8.519,2.881,0,-4.074,14.907,104.2866,136.034,81.949,0.29,-5.638,68.405,28.928,-202.078,136.034,37.818,133.153
0,2003,93.539,49.355,2.325,-45.525,0,-45.456,0.634,178.0479,3.83,107.347,0.828,-47.85,-45.525,11.282,-306.042,3.83,12.11,49.355
0,2012,1.224,9.664,0,-2.371,0,1.698,0.882,23.2108,7.293,1.256,0,-2.371,-2.371,2.272,-180.714,7.293,21.591,9.664
1,2005,181.395,72.09,7.955,14.07,0,-99.382,27.267,4.1114,86.16,405.837,628.063,6.115,14.07,84.29,-430.792,86.16,836.916,72.09
1,2000,277.89,1090.238,201.512,262.659,47.93,-12.736,180.267,539.1936,1391.784,2232.614,1102.014,61.147,301.546,315.446,-234.98,1391.784,2012.74,1129.125
0,2010,30.081,46.727,1.634,6.262,7.356,4.156,10.031,37.453,58.165,55.918,0,4.628,11.438,17.27,24.32,58.165,17.27,51.903
1,2003,886.052,1704.271,50.923,233.902,414.684,94.573,366.448,1640.9255,2367.738,1578.259,303.2,182.979,663.467,182.819,695.486,2367.738,611.357,2133.836
0,2001,44.375,43.112,2.085,11.69,24.03,5.64,17.114,52.1612,87.017,68.565,14.165,9.605,43.905,18.997,26.172,87.017,34.607,75.327
1,2010,4.95,10.533,0.048,-0.893,0,-0.94,2.223,3.8457,13.28,5.134,0,-0.941,2.747,1.469,-34.214,13.28,1.469,14.173
0,2012,18720,28802,2608,12378,3581,6178,7041,105655.92,65492,74638,23544,9770,36690,17089,37671,65492,52239,53114
0,2005,2.624,45.925,1.283,1.728,0.95,-0.455,0.754,3.6498,52.001,30.734,11.124,0.445,6.076,12.297,-1.09,52.001,23.644,50.273
0,2008,1.982,0.078,0.174,-0.226,0.393,-0.199,0.016,0.5046,0.506,10.306,0,-0.4,0.428,4.302,0.924,0.506,4.302,0.732
0,2002,34.713,71.625,4.706,-3.804,10.701,-12.986,14.928,14.9853,80.033,67.339,11.093,-8.51,8.408,15.188,25.595,80.033,30.604,83.837
0,2006,22.243,29.941,2.778,9.146,5.418,2.673,8.156,88.3941,52.588,55.3,7.818,6.368,22.647,7.866,-15.737,52.588,15.8,43.442
0,2008,16.937,14.09,0.612,2.072,5.754,1.02,6.436,23.443,28.969,21.604,0,1.46,14.879,3.643,25.317,28.969,3.67,26.897
1,2006,31.573,14.582,0.695,1.264,1.921,2.086,5.824,51.0001,33.403,34.062,3.5,0.569,18.821,4.677,-14.699,33.403,8.262,32.139
0,2015,576.56,1414.696,188.535,585.705,45.79,225.037,382.458,3099.9532,2000.401,6795.604,2223.306,397.17,585.705,533.814,1391.219,2000.401,4276.143,1414.696
0,2013,275.185,709.823,28.026,141.575,163.921,66.546,7.7,1587.6053,1087.469,682.064,0.225,113.549,377.646,102.844,226.001,1087.469,153.724,945.894
0,2011,760.843,1311.696,88.094,457.95,217.71,229.87,215.978,1753.7589,2057.487,1278.256,199.542,369.856,745.791,328.191,151.597,2057.487,700.43,1599.537
1,2005,315.353,388.369,7.311,52.853,153.263,23.555,123.058,272.7397,600.285,494.645,94.781,45.542,211.916,98.843,86.967,600.285,248.799,547.432
1,2004,5.479,8.21,1.591,-2.438,0.98,-4.167,2.257,37.3926,13.92,11.243,0.157,-4.029,5.71,2.331,-110.127,13.92,2.488,16.358
1,2009,992.199,991.491,55.004,152.327,267.73,-192.042,456.499,255.912,1977.526,1852.608,911.43,97.323,986.035,430.502,93.773,1977.526,1396.013,1825.199
0,1999,208.205,660.922,43.415,105.07,122.683,19.914,62.547,204.6049,821.984,877.254,298.329,61.655,161.062,101.66,124.56,821.984,492.35,716.914
0,2012,13526,85915,908,3684,7096,1709,1026,42314.0945,99137,27140,1562,2776,13222,12260,7990,99137,14622,95453
1,2005,23.854,63.992,1.403,-2.862,7.765,-12.07,14.171,12.5577,90.968,34.715,9.216,-4.265,26.976,24.896,-123.869,90.968,66.675,93.83
1,2001,99.374,315.126,10.975,11.615,61.793,0.43,1.455,93.0882,427.04,197.282,12.394,0.64,111.914,56.651,46.133,427.04,75.478,415.425
1,2010,3.593,19.104,1.658,-1.011,0.088,-4.03,1.182,3.7345,36.392,15.654,0,-2.669,17.288,10.572,-37.559,36.392,11.886,37.403
0,1999,130.448,30.859,2.88,10.582,14.945,9.584,14.368,252.4988,79.09,169.928,58.011,7.702,48.231,14.977,48.688,79.09,72.988,68.508
